dps310_pressure,dps310_temp,bno08x_accel_z,bno08x_accel_x,bno08x_accel_y,timestamp
,,0.0390625,0.34375,-10.0039,1725197603035
972.713,36.2548,,,,1725197603127
,,-0.460938,-0.191406,-9.80859,1725197603197
972.713,36.2607,,,,1725197603325
,,-0.152344,0.304688,-9.38281,1725197603393
972.711,36.2619,,,,1725197603486
,,-0.269531,0.152344,-9.73047,1725197603551
972.711,36.2621,,,,1725197603671
,,-0.726563,-0.152344,-9.64844,1725197603741
972.711,36.2678,,,,1725197603832
,,0.269531,0.230469,-9.96094,1725197603898
972.709,36.2707,,,,1725197604023
,,-1.1875,0.230469,-9.80859,1725197604090
972.71,36.2707,,,,1725197604186
,,-0.304688,0.078125,-9.22656,1725197604252
972.71,36.2726,,,,1725197604372
,,-0.34375,-0.191406,-9.61328,1725197604437
972.708,36.2729,,,,1725197604530
,,0.0,0.460938,-9.64844,1725197604596
972.708,36.2744,,,,1725197604720
,,0.574219,-0.113281,-10.1133,1725197604788
972.709,36.2726,,,,1725197604887
,,0.304688,0.382813,-9.65234,1725197604952
972.705,36.2732,,,,1725197605080
,,-0.574219,0.382813,-9.76953,1725197605148
972.703,36.2732,,,,1725197605239
,,0.34375,0.421875,-10.1523,1725197605306
972.702,36.2769,,,,1725197605427
,,-0.421875,0.230469,-10.0313,1725197605493
972.701,36.282,,,,1725197605586
,,0.691406,0.917969,-10.2266,1725197605656
972.699,36.276,,,,1725197605777
,,-0.152344,0.421875,-9.80859,1725197605842
972.7,36.2871,,,,1725197605939
